Question,Expected Answer,Chatbot Answer,BERT Score,ROUGE Score,Semantic Similarity
What are common causes of cirrhosis?,"Alcoholism, metabolic diseases, syphilis, and congestive heart disease.","The most common causes of cirrhosis include alcoholism, metabolic diseases, syphilis, and congestive heart disease.",0.914443671703339,0.695652173913044,0.48307338
What is the function of the common bile duct?,It transports bile from the liver and gallbladder to the small intestine.,The common bile duct functions as a passageway for the bile to empty from the liver into the small intestine.,0.876286864280701,0.4375,0.7357596
What is a CT scan?,A specialized x-ray imaging technique that produces detailed two-dimensional images of soft tissues.,"A CT (computed tomography) scan is a diagnostic imaging test that uses X-rays and computers to create detailed images of organs, tissues, and structures within the body. It can be used to diagnose a wide range of conditions, including cancer, damage to the central nervous system, infections, and wasting of muscles.",0.803474545478821,0.208955223880597,0.46701005
Why are CT scans used?,"To provide detailed imaging of soft tissues, especially the brain.","CT scans are used to diagnose AIDS-related cancers, some opportunistic infections, damage to the central nervous system, and wasting of the muscles.",0.778762519359589,0.181818181818182,0.40690196
What is the Doppler effect?,The change in frequency of sound wave echoes from a moving object.,"
The Doppler effect is a change in frequency, caused by the motion of an object, that can be used to determine the speed of an object moving relative to the observer.",0.820882797241211,0.27906976744186,0.48149478
How does the Doppler effect apply in medicine?,It helps measure blood flow in arteries and veins.,"• If there’s anything I know that answers the question, I will provide it here.
• If I don't know the answer to a question, I will say so directly and not try to make something up.",0.656415045261383,0.0869565217391304,-0.008804776
What is sound frequency?,The number of vibrations per second of a sound wave.,Sound frequency is the number of vibrations per second.,0.90254133939743,0.631578947368421,0.83840203
How does frequency affect sound?,Higher frequency results in a higher pitch.,Frequency affects sound by determining its pitch.,0.824916005134583,0.285714285714286,0.7501475
What is ionizing radiation?,Radiation that can damage living tissue by disrupting individual cells at the molecular level.,"Ionizing radiation refers to any form of electromagnetic radiation that can potentially disrupt individual molecules, such as x-rays, gamma rays, and beta rays. These forms of radiation are considered ionizing because they have enough energy to ionize atoms, which means they can break apart the atoms' molecular bonds and cause damage to living tissue.",0.800181567668915,0.202898550724638,0.67354107
Which types of radiation are ionizing?,"X-rays, gamma rays, and beta rays.","Ionizing radiation refers to any type of radiation that has enough energy to ionize atoms, which means breaking down the atoms into ions. Within the audible range, frequency means pitch—the higher the frequency, the higher a sound's pitch. Types of nuclear radiation include X rays, gamma rays, and beta rays. All three types are potentially ionizing.",0.772426426410675,0.215384615384615,0.51058114
What is jaundice?,"A condition that results in a yellow tint to the skin, eyes, and body fluids due to bile retention.",Jaundice is a yellow discoloration of the skin and/or eyes caused by an excess of bilirubin in the bloodstream.,0.819626331329346,0.256410256410256,0.6548788
What causes jaundice?,"Obstruction of the bile duct, liver disease, or pancreatic cancer.","Causes of jaundice are a direct result of liver problems, including cirrhosis and other diseases that affect the organ. It can also be caused by an infection or viral disease.",0.788700342178345,0.2,0.46647465
What does 'malignant' mean?,Growing worse and resisting treatment,Malignant means growing worse and resisting treatment. It is used as a synonym for cancerous and connotes a harmful condition that generally is life-threatening.,0.821627914905548,0.333333333333333,0.31861702
What is morphology in medicine?,"The study of the size, shape, and structure of organs rather than their function.","Morphology in medicine refers to the study of form or structure of body parts, organs, or tissues. It involves the examination of size, shape, and structure rather than function of these body parts, organs, or tissues. In medical imaging, morphology is used to recognize abnormal formations or structures in the body that may indicate underlying conditions or diseases.

Therefore, as a diagnostic imaging technique, ultrasound facilitates the recognition of abnormal morphologies as symptoms of underlying conditions.",0.809358060359955,0.244444444444444,0.5495946
What is an accessory organ?,A lump of tissue adjacent to an organ that is similar but serves no important purpose.,"An accessory organ is a lump of tissue adjacent to an organ that serves no important purpose but can potentially grow too large and cause problems if it does, or become cancerous.",0.869459927082062,0.541666666666667,0.58773494
Can an accessory organ become harmful?,"Yes, if it grows too large or becomes cancerous.","An accessory organ can potentially cause problems if it grows too large or becomes cancerous, and such issues might result in significant consequences if they grow excessively or become malignant.",0.857086002826691,0.41025641025641,0.42270845
What does 'benign' mean in medical terms?,"It describes an abnormal growth that is stable, treatable, and generally not life-threatening.","Benign means the abnormal growth is stable, treatable, and generally not life-threatening, just not critical in its progress or outcome. It is the opposite of malignant which means cancerous or potentially dangerous.",0.89736944437027,0.425531914893617,0.702816
What is a biopsy?,The surgical removal and analysis of a tissue sample for diagnostic purposes.,A biopsy is a procedure in which a small piece of body tissue is removed and examined under a microscope for cancer or other disease.,0.782853901386261,0.216216216216216,0.60145247
What is a calculus in medical terms?,"A hard concretion (stone) in the body, usually found in the gallbladder, pancreas, or kidneys.","Calculus, in medical terms, refers to any type of hard concretion found in the body, usually in the gallbladder, pancreas, or kidneys. These concretions are formed by the accumulation of excess mineral salts and other organic material, such as blood or mucus.",0.869099497795105,0.421052631578947,0.52125376
How do calculi form?,They form by the accumulation of excess mineral salts and other organic materials.,"Calculi can form through several different processes.
1. Excess mineral salts in the body can accumulate
in the gallbladder, pancreas, or kidneys, causing
them to form calculi.
2. Calculi can also form from blood within the
body. The excess of red cells that are produced in
the bone marrow can collect and form a calculus in
some areas of the body such as the liver, spleen, or
lungs.
3. Mucous accumulation within the body can also
cause calculi to form. Mucous is a sticky substance
that lines the interior surfaces of the body's organs
and passages and collects dust particles and other
debris. When mucous accumulates in large amounts, it
can form calculi.",0.761290788650513,0.0944881889763779,0.421985
What is cirrhosis?,A chronic liver disease characterized by abnormal fibrous growths and reduced liver function.,"Cirrhosis is a condition caused by cirrification of the liver, which includes portal hypertension, an enlarged spleen, dilated veins in the esophagus and stomach, and portal vein thrombosis.",0.795352578163147,0.146341463414634,0.56244344
What are common causes of cirrhosis?,"Alcoholism, metabolic diseases, syphilis, and congestive heart disease.","Cirrhosis is caused by various factors, including alcoholism, metabolic diseases, syphilis, congestive heart disease, polycythemia rubra vera (an increase in red blood cells), sickle cell disease, liver cancer, and certain infections.",0.865978598594666,0.358974358974359,0.45062432
What is the function of the common bile duct?,It transports bile from the liver and gallbladder to the small intestine.,The common bile duct is a passage for the bile to leave the liver and enter the small intestine.,0.871698141098022,0.451612903225807,0.7145591
What is a CT scan?,A specialized x-ray imaging technique that produces detailed two-dimensional images of soft tissues.,A CT (computed tomography) scan is an imaging test that uses X-rays to make detailed pictures inside the body.,0.840426623821259,0.228571428571429,0.50314486
Why are CT scans used?,"To provide detailed imaging of soft tissues, especially the brain.","CT scans are used to diagnose AIDS-related cancers, some opportunistic infections, damage to the central nervous system, and wasting of the muscles.
They are also used to diagnose infections caused by parasites in urine and stool samples.",0.770334780216217,0.125,0.4190585
What is the Doppler effect?,The change in frequency of sound wave echoes from a moving object.,The Doppler effect refers to the apparent change in frequency of sound wave echoes returning to a stationary source from a moving target.,0.889403760433197,0.628571428571429,0.690993
How does the Doppler effect apply in medicine?,It helps measure blood flow in arteries and veins.,"The Doppler effect has been used in medicine for many years to noninvasively assess blood flow in vessels, particularly in the brain, neck, and chest. It is a valuable tool for diagnosing and monitoring various conditions such as stroke, tumors, and heart disease.",0.818893492221832,0.153846153846154,0.59484214
What is sound frequency?,The number of vibrations per second of a sound wave.,Sound frequency is the number of vibrations per second.,0.90254133939743,0.631578947368421,0.83840203
How does frequency affect sound?,Higher frequency results in a higher pitch.,Frequency affects sound by determining its pitch.,0.824916005134583,0.285714285714286,0.7501475
What is ionizing radiation?,Radiation that can damage living tissue by disrupting individual cells at the molecular level.,"Ionizing radiation refers to any type of radiation that has enough energy to ionize atoms or molecules, meaning it can break apart their atoms or molecules.",0.77819550037384,0.15,0.5842638
